slug,registry,enriched_at,ai_demand_score
chromedevtools-chrome-devtools-mcp,ai_tool,2026-03-25T15:23:31.005039,7.2
bnb-agents,ai_tool,2026-03-25T15:23:31.005039,7.21
bolt-new-ai,ai_tool,2026-03-25T15:23:31.005039,
camel-aiowl,ai_tool,2026-03-25T15:23:31.005039,7.07
contoso-creative-writer,ai_tool,2026-03-25T15:23:31.686387,11.42
copilot-x,ai_tool,2026-03-25T15:23:31.686387,
coze-loop,ai_tool,2026-03-25T15:23:31.686387,7.35
designing-an-autonomous-learning-agent-with-checkpoint-verification-and-feynman-pedagogy,ai_tool,2026-03-25T15:23:31.686387,7.2
dialed-boss,ai_tool,2026-03-25T15:23:31.686387,7.21
craiyon,ai_tool,2026-03-25T15:23:31.686387,
dbt-ai,ai_tool,2026-03-25T15:23:31.686387,
deepseek-ocr-demo,ai_tool,2026-03-25T15:23:31.686387,7.16
cursortouch-windows-mcp,ai_tool,2026-03-25T15:23:31.686387,11.42
datacendia-core,ai_tool,2026-03-25T15:23:31.686387,21.62
coreyhaines31-marketingskills,ai_tool,2026-03-25T15:23:31.686387,7.2
contentstudio-ai,ai_tool,2026-03-25T15:23:31.686387,14.41
codeium-pro,ai_tool,2026-03-25T15:23:31.686387,
codium-ai,ai_tool,2026-03-25T15:23:31.686387,
cody-ai,ai_tool,2026-03-25T15:23:31.686387,
datadog-datadog-agent,ai_tool,2026-03-25T15:23:31.686387,7.2
cursor-ai,ai_tool,2026-03-25T15:23:31.686387,7.21
d-id-ai,ai_tool,2026-03-25T15:23:31.686387,
datawhalechina-hello-agents,ai_tool,2026-03-25T15:23:31.686387,18.63
content-designer-ux-writing-skill,ai_tool,2026-03-25T15:23:31.686387,7.2
davanstrien-awesome-synthetic-datasets,ai_tool,2026-03-25T15:23:31.686387,7.13
consensus,ai_tool,2026-03-25T15:23:31.686387,
deepset-ai-haystack,ai_tool,2026-03-25T15:23:31.686387,7.06
davidau-glm-4-7-flash-uncensored-heretic-neo-code-imatrix-max-gguf,ai_tool,2026-03-25T15:23:31.686387,7.21
deepl-ai,ai_tool,2026-03-25T15:23:31.686387,7.07
conv-ai-2,ai_tool,2026-03-25T15:23:31.686387,7.06
cognigy,ai_tool,2026-03-25T15:23:31.686387,21.62
deep-dream,ai_tool,2026-03-25T15:23:31.686387,
containers-ramalama,ai_tool,2026-03-25T15:23:31.686387,7.08
coo-quackcalc-mcp,ai_tool,2026-03-25T15:23:31.686387,16.73
dataform-ai,ai_tool,2026-03-25T15:23:31.686387,
craiyon-ai,ai_tool,2026-03-25T15:23:31.686387,
coze-dev-coze-loop,ai_tool,2026-03-25T15:23:31.686387,7.2
deepseek-ocr,ai_tool,2026-03-25T15:23:31.686387,14.41
descript-ai-video,ai_tool,2026-03-25T15:23:31.686387,7.21
dialed-classifier,ai_tool,2026-03-25T15:23:31.686387,7.12
figma-context-mcp,ai_tool,2026-03-25T15:23:32.369748,20.23
elementary-data-dbt-data-reliability,ai_tool,2026-03-25T15:23:32.369748,7.4
emarco177-langchain-course,ai_tool,2026-03-25T15:23:32.369748,7.12
dipeshpal-jarvis-ai,ai_tool,2026-03-25T15:23:32.369748,7.15
elixir-nx-bumblebee,ai_tool,2026-03-25T15:23:32.369748,14.41
explain-paper,ai_tool,2026-03-25T15:23:32.369748,7.15
facebook-sam3,ai_tool,2026-03-25T15:23:32.369748,7.21
filmora-ai,ai_tool,2026-03-25T15:23:32.369748,
freecad-mcp,ai_tool,2026-03-25T15:23:32.369748,11.42
freshdesk-freddy,ai_tool,2026-03-25T15:23:32.369748,14.41
eslint-plugin-preferred-import-path,ai_tool,2026-03-25T15:23:32.369748,7.15
dialed-context,ai_tool,2026-03-25T15:23:32.369748,11.17
excalidraw-ai,ai_tool,2026-03-25T15:23:32.369748,7.07
fast-dllm-v2-7b,ai_tool,2026-03-25T15:23:32.369748,7.21
fineweb-edu-classifier,ai_tool,2026-03-25T15:23:32.369748,14.41
flashllm,ai_tool,2026-03-25T15:23:32.369748,7.21
echo-scribe-agent,ai_tool,2026-03-25T15:23:32.369748,7.2
dreamstudio,ai_tool,2026-03-25T15:23:32.369748,
frase,ai_tool,2026-03-25T15:23:32.369748,11.34
dify-mcp-client,ai_tool,2026-03-25T15:23:32.369748,11.42
dmlc-gluon-nlp,ai_tool,2026-03-25T15:23:32.369748,7.21
freshdesk-freddy-ai,ai_tool,2026-03-25T15:23:32.369748,7.18
ecrett-music,ai_tool,2026-03-25T15:23:32.369748,
forethought-ai,ai_tool,2026-03-25T15:23:32.369748,11.42
docx-mcp,ai_tool,2026-03-25T15:23:32.369748,7.21
fetchtify-dj,ai_tool,2026-03-25T15:23:32.369748,7.35
freepik-ai,ai_tool,2026-03-25T15:23:32.369748,
facebook-seamless-m4t-v2-large,ai_tool,2026-03-25T15:23:32.369748,7.21
digitalproductschool-agenticaicoach,ai_tool,2026-03-25T15:23:32.369748,7.2
finance-news-summary,ai_tool,2026-03-25T15:23:32.369748,
eutropicai-final2x,ai_tool,2026-03-25T15:23:32.369748,7.07
figma-ai,ai_tool,2026-03-25T15:23:32.369748,
facebook-voxpopulik-16k-whisper-compatible,ai_tool,2026-03-25T15:23:32.369748,7.35
dreamstudio-ai,ai_tool,2026-03-25T15:23:32.369748,7.05
dust-ai,ai_tool,2026-03-25T15:23:32.369748,
fivetran-ai,ai_tool,2026-03-25T15:23:32.369748,
eriklindernoren-ml-from-scratch,ai_tool,2026-03-25T15:23:32.369748,11.42
dingtalk-moltbot-connector,ai_tool,2026-03-25T15:23:32.369748,14.41
dlr-rm-rl-baselines3-zoo,ai_tool,2026-03-25T15:23:32.369748,11.42
finepersonas-v0-1,ai_tool,2026-03-25T15:23:32.369748,7.21
documind,ai_tool,2026-03-25T15:23:32.369748,
firebase-genkit,ai_tool,2026-03-25T15:23:32.369748,7.16
dialed-synthesis,ai_tool,2026-03-25T15:23:32.369748,7.11
figma-context,ai_tool,2026-03-25T15:23:32.369748,18.63
doramirdor-nadirclaw,ai_tool,2026-03-25T15:23:32.369748,14.14
eleutherai-lm-evaluation-harness,ai_tool,2026-03-25T15:23:32.369748,
duckduckgo-ai,ai_tool,2026-03-25T15:23:32.369748,11.42
illustrious-xl-v1-0,ai_tool,2026-03-25T15:23:33.057998,14.41
hirebase-job-search,ai_tool,2026-03-25T15:23:33.057998,7.21
ikaijua-awesome-aitools,ai_tool,2026-03-25T15:23:33.057998,7.35
funnywolf-agentic-soc-platform,ai_tool,2026-03-25T15:23:33.057998,14.41
gpt-academic,ai_tool,2026-03-25T15:23:33.057998,7.44
gpt-oss,ai_tool,2026-03-25T15:23:33.057998,11.42
humata-ai,ai_tool,2026-03-25T15:23:33.057998,
ibm-watsonx-code,ai_tool,2026-03-25T15:23:33.057998,16.73
hypotenuse-ai,ai_tool,2026-03-25T15:23:33.057998,
hiteshydv001-linkedin-automate-comment,ai_tool,2026-03-25T15:23:33.057998,11.72
google-gemma-7b,ai_tool,2026-03-25T15:23:33.057998,11.42
imaurer-awesome-llm-json,ai_tool,2026-03-25T15:23:33.057998,7.07
gmail-agent,ai_tool,2026-03-25T15:23:33.057998,11.42
grid-agent,ai_tool,2026-03-25T15:23:33.057998,7.16
hellodigua-chatlab,ai_tool,2026-03-25T15:23:33.057998,7.21
gmail-ai-agent,ai_tool,2026-03-25T15:23:33.057998,7.21
import-local,ai_tool,2026-03-25T15:23:33.057998,7.07
google-cloud-storage-transfer,ai_tool,2026-03-25T15:23:33.057998,7.21
getzep-graphiti,ai_tool,2026-03-25T15:23:33.057998,11.42
google-gemma-2-2b-it,ai_tool,2026-03-25T15:23:33.057998,11.42
grammarly-model-001,ai_tool,2026-03-25T15:23:33.057998,16.73
home-mcp,ai_tool,2026-03-25T15:23:33.057998,7.21
greydgl-pentestgpt,ai_tool,2026-03-25T15:23:33.057998,11.42
hiyouga-llamafactory,ai_tool,2026-03-25T15:23:33.057998,14.41
hightouch-ai,ai_tool,2026-03-25T15:23:33.057998,
getclawe-clawe,ai_tool,2026-03-25T15:23:33.057998,14.41
hkuds-deeptutor,ai_tool,2026-03-25T15:23:33.057998,14.41
google-translategemma-27b-it,ai_tool,2026-03-25T15:23:33.057998,7.21
ia-santissimosacramento,ai_tool,2026-03-25T15:23:33.057998,
